"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Significant","Significant","Significant","Significant","Significant","Significant","Non-significant","Non-significant","Non-significant","Non-significant"
"Positive","Positive","Positive","Positive","Positive","Positive","0","0","0","0"
