"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Non-significant","Non-significant","Non-significant","Significant","Significant","Significant","Significant","Non-significant","Significant","Significant"
"0","0","0","Positive","Positive","Positive","Positive","0","Positive","Negative"
