"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Non-significant","Significant","Non-significant","Significant","Significant","Non-significant","Significant","Non-significant","Significant","Non-significant"
"0","Positive","0","Positive","Positive","0","Positive","0","Positive","0"
