"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Non-significant","Significant","Significant","Significant","Significant","Significant","Significant","Significant","Significant","Significant"
"0","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive"
