"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Non-significant","Non-significant","Significant","Non-significant","Significant","Non-significant","Significant","Non-significant","Significant","Significant"
"0","0","Positive","0","Positive","0","Positive","0","Positive","Positive"
