"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Significant","Non-significant","Non-significant","Non-significant","Non-significant","Non-significant","Non-significant","Non-significant","Non-significant","Non-significant"
"Positive","0","0","0","0","0","0","0","0","0"
