"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Non-significant","Non-significant","Non-significant","Non-significant","Significant","Non-significant","Non-significant","Significant","Non-significant","Significant"
"0","0","0","0","Positive","0","0","Positive","0","Negative"
