"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Significant","Non-significant","Non-significant","Significant","Significant","Significant","Non-significant","Non-significant","Significant","Non-significant"
"Positive","0","0","Positive","Positive","Positive","0","0","Positive","0"
