"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Significant","Significant","Significant","Significant","Significant","Significant","Significant","Significant","Significant","Significant"
"Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive","Positive"
