"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Non-significant","Significant","Significant","Non-significant","Significant","Significant","Significant","Non-significant","Non-significant","Non-significant"
"0","Positive","Positive","0","Positive","Positive","Positive","0","0","0"
