"Delivery","Wifi","TakeOut","bike","appointment","wheel","dog","credit_card","Parking","Noise"
"Significant","Non-significant","Significant","Significant","Significant","Non-significant","Significant","Significant","Significant","Significant"
"Positive","0","Positive","Positive","Positive","0","Positive","Positive","Positive","Negative"
