bigram,n,star,pec
insurance company,147,1,0.0052055667693615216
water damage,146,1,0.005170154750522327
days ago,144,1,0.005099330712843939
cell phone,140,1,0.0049576826374871635
horrible service,139,1,0.004922270618647969
absolute worst,135,1,0.004780622543291193
american home,135,1,0.004780622543291193
sales person,135,1,0.004780622543291193
6 weeks,134,1,0.004745210524451999
front yard,134,1,0.004745210524451999
bad reviews,132,1,0.004674386486773611
bad experience,131,1,0.004638974467934417
horrible company,130,1,0.004603562449095223
terrible experience,129,1,0.004568150430256029
highly recommend,126,1,0.004461914373738446
office manager,121,1,0.004284854279542477
star rating,121,1,0.004284854279542477
5 months,119,1,0.004214030241864088
sales rep,119,1,0.004214030241864088
5 times,118,1,0.004178618223024895
numerous times,118,1,0.004178618223024895
customer service,312,2,0.11624441132637854
2 stars,81,2,0.030178837555886736
home depot,77,2,0.028688524590163935
front desk,72,2,0.026825633383010434
office staff,64,2,0.02384500745156483
2 weeks,51,2,0.019001490312965722
apartment complex,45,2,0.01676602086438152
las vegas,44,2,0.01639344262295082
1 2,43,2,0.01602086438152012
2 hours,42,2,0.01564828614008942
30 minutes,40,2,0.014903129657228018
credit card,40,2,0.014903129657228018
20 minutes,39,2,0.014530551415797318
phone call,39,2,0.014530551415797318
property manager,37,2,0.013785394932935917
15 minutes,36,2,0.013412816691505217
2 days,35,2,0.013040238450074515
3 months,35,2,0.013040238450074515
front office,35,2,0.013040238450074515
phone calls,35,2,0.013040238450074515
10 minutes,33,2,0.012295081967213115
2 months,33,2,0.012295081967213115
multiple times,33,2,0.012295081967213115
6 months,32,2,0.011922503725782414
3 days,31,2,0.011549925484351714
front door,29,2,0.010804769001490314
3 hours,28,2,0.010432190760059613
months ago,27,2,0.010059612518628911
poor customer,27,2,0.010059612518628911
3 weeks,26,2,0.009687034277198211
hot water,26,2,0.009687034277198211
parking lot,26,2,0.009687034277198211
maintenance staff,25,2,0.009314456035767511
ni called,25,2,0.009314456035767511
security deposit,25,2,0.009314456035767511
24 hours,24,2,0.00894187779433681
water heater,24,2,0.00894187779433681
5 stars,23,2,0.00856929955290611
45 minutes,22,2,0.00819672131147541
5 minutes,22,2,0.00819672131147541
leasing office,22,2,0.00819672131147541
sales person,22,2,0.00819672131147541
management company,21,2,0.00782414307004471
service call,21,2,0.00782414307004471
3 times,20,2,0.007451564828614009
4 months,20,2,0.007451564828614009
ac unit,20,2,0.007451564828614009
air conditioning,20,2,0.007451564828614009
sales people,20,2,0.007451564828614009
1 star,19,2,0.007078986587183309
5 star,19,2,0.007078986587183309
4 days,18,2,0.0067064083457526085
home warranty,18,2,0.0067064083457526085
property management,18,2,0.0067064083457526085
service fee,18,2,0.0067064083457526085
30 days,17,2,0.006333830104321907
4 hours,17,2,0.006333830104321907
4 times,17,2,0.006333830104321907
irrigation system,17,2,0.006333830104321907
leasing agent,17,2,0.006333830104321907
maintenance requests,17,2,0.006333830104321907
weeks ago,17,2,0.006333830104321907
yelp reviews,17,2,0.006333830104321907
2 3,16,2,0.005961251862891207
3 4,16,2,0.005961251862891207
garbage disposal,16,2,0.005961251862891207
maintenance guy,16,2,0.005961251862891207
pest control,16,2,0.005961251862891207
5 hours,15,2,0.005588673621460507
8 months,15,2,0.005588673621460507
air conditioner,15,2,0.005588673621460507
days ago,15,2,0.005588673621460507
dog park,15,2,0.005588673621460507
dog poop,15,2,0.005588673621460507
office manager,15,2,0.005588673621460507
deep clean,14,2,0.005216095380029807
entire time,14,2,0.005216095380029807
month ago,14,2,0.005216095380029807
poor service,14,2,0.005216095380029807
resort fee,14,2,0.005216095380029807
star rating,14,2,0.005216095380029807
story short,14,2,0.005216095380029807
2 bedroom,13,2,0.004843517138599106
40 minutes,13,2,0.004843517138599106
convention center,13,2,0.004843517138599106
day notice,13,2,0.004843517138599106
garage door,13,2,0.004843517138599106
kitchen sink,13,2,0.004843517138599106
parking garage,13,2,0.004843517138599106
sales guy,13,2,0.004843517138599106
time share,13,2,0.004843517138599106
timely manner,13,2,0.004843517138599106
4 5,12,2,0.004470938897168405
60 days,12,2,0.004470938897168405
carpet cleaning,12,2,0.004470938897168405
cleaning fee,12,2,0.004470938897168405
cleaning service,12,2,0.004470938897168405
couple months,12,2,0.004470938897168405
half hour,12,2,0.004470938897168405
maintenance crew,12,2,0.004470938897168405
customer service,3207,1,0.12772312716555817
home warranty,655,1,0.026086263889442032
warranty company,551,1,0.021944322752797802
home depot,537,1,0.021386753753634156
phone calls,497,1,0.019793699470309453
phone call,480,1,0.01911665139989645
2 weeks,464,1,0.01847942968656657
water heater,442,1,0.017603249830737983
apartment complex,400,1,0.015930542833247043
management company,379,1,0.015094189334501573
office staff,370,1,0.014735752120753514
credit card,363,1,0.014456967621171692
property management,356,1,0.014178183121589869
2 months,347,1,0.01381974590784181
2 hours,337,1,0.013421482337010633
front desk,328,1,0.013063045123262574
3 weeks,322,1,0.01282408698076387
multiple times,319,1,0.012704607909514517
6 months,318,1,0.0126647815524314
3 months,307,1,0.012226691624517106
las vegas,307,1,0.012226691624517106
worst customer,307,1,0.012226691624517106
hot water,306,1,0.012186865267433988
3 times,298,1,0.011868254410769047
2 days,295,1,0.011748775339519695
front office,294,1,0.011708948982436577
3 days,288,1,0.01146999083993787
1 star,287,1,0.011430164482854754
30 minutes,284,1,0.0113106854116054
parking lot,265,1,0.010553984627026166
months ago,261,1,0.010394679198693696
1 2,258,1,0.010275200127444343
property manager,243,1,0.009677804771197578
air conditioning,239,1,0.009518499342865108
worst experience,237,1,0.009438846628698873
poor customer,229,1,0.009120235772033932
security deposit,228,1,0.009080409414950814
10 minutes,226,1,0.00900075670078458
0 stars,222,1,0.00884145127245211
ac unit,217,1,0.008642319487036521
20 minutes,210,1,0.008363534987454697
ni called,204,1,0.008124576844955992
3 hours,203,1,0.008084750487872874
century link,202,1,0.008044924130789756
front door,200,1,0.007965271416623522
garage door,198,1,0.007885618702457286
service call,198,1,0.007885618702457286
horrible customer,194,1,0.007726313274124816
5 minutes,193,1,0.007686486917041698
leasing office,192,1,0.007646660559958581
worst company,190,1,0.007567007845792346
weeks ago,187,1,0.007447528774542992
15 minutes,183,1,0.007288223346210522
moving company,182,1,0.007248396989127405
4 days,174,1,0.006929786132462464
extremely rude,170,1,0.006770480704129994
insurance company,169,1,0.006730654347046876
4 times,160,1,0.006372217133298817
4 months,159,1,0.0063323907762157
direct tv,158,1,0.0062925644191325816
air conditioner,157,1,0.006252738062049464
4 hours,155,1,0.006173085347883229
real estate,153,1,0.006093432633716994
negative stars,150,1,0.005973953562467641
45 minutes,149,1,0.005934127205384524
5 days,149,1,0.005934127205384524
internet service,148,1,0.005894300848301406
pest control,148,1,0.005894300848301406
terrible customer,148,1,0.005894300848301406
horrible experience,146,1,0.00581464813413517
24 hours,145,1,0.005774821777052053
story short,145,1,0.005774821777052053
30 days,142,1,0.0056553427058027
10 days,134,1,0.005336731849137759
business bureau,134,1,0.005336731849137759
sales person,132,1,0.005257079134971524
service fee,129,1,0.005137600063722172
bad experience,127,1,0.005057947349555936
carpet cleaning,127,1,0.005057947349555936
buyer beware,126,1,0.005018120992472818
day notice,126,1,0.005018120992472818
highly recommend,123,1,0.004898641921223466
bad reviews,122,1,0.004858815564140348
5 star,119,1,0.004739336492890996
american home,119,1,0.004739336492890996
horrible service,118,1,0.004699510135807878
negative reviews,118,1,0.004699510135807878
horrible company,115,1,0.004580031064558525
numerous times,114,1,0.004540204707475407
2 3,112,1,0.004460551993309172
business practices,112,1,0.004460551993309172
sales rep,112,1,0.004460551993309172
water damage,112,1,0.004460551993309172
cell phone,110,1,0.004380899279142937
terrible service,109,1,0.004341072922059819
days ago,107,1,0.0042614202078935836
absolute worst,106,1,0.004221593850810466
bedroom apartment,105,1,0.004181767493727348
poor service,105,1,0.004181767493727348
time frame,105,1,0.004181767493727348
highly recommend,4729,5,0.14696833141685053
customer service,2867,5,0.08910091058830842
garage door,1096,5,0.03406159679274016
las vegas,957,5,0.02974174099512074
water heater,742,5,0.023059949653479194
top notch,620,5,0.01926842154333841
highly recommended,611,5,0.018988718649967366
amazing job,570,5,0.017714516580165957
real estate,559,5,0.017372657488268016
excellent job,557,5,0.01731050128974112
5 stars,459,5,0.014264847561923113
fair price,458,5,0.014233769462659664
fantastic job,438,5,0.013612207477390682
home warranty,427,5,0.013270348385492743
reasonable price,425,5,0.013208192186965844
excellent service,411,5,0.012773098797277558
timely manner,399,5,0.01240016160611617
30 minutes,391,5,0.012151536812008578
2 hours,366,5,0.011374584330422351
carpet cleaning,334,5,0.010380085153991981
5 star,316,5,0.0098206793672499
air conditioning,311,5,0.009665288870932653
office staff,296,5,0.009199117381980919
hot water,293,5,0.009105883084190572
home depot,288,5,0.008950492587873326
entire process,282,5,0.008764023992292631
moving company,282,5,0.008764023992292631
phone call,281,5,0.008732945893029182
super friendly,278,5,0.008639711595238835
extremely professional,271,5,0.008422164900394692
property management,267,5,0.008297852503340896
awesome job,265,5,0.008235696304813998
15 minutes,256,5,0.007955993411442956
excellent customer,254,5,0.007893837212916059
ac unit,249,5,0.007738446716598813
moon valley,242,5,0.00752090002175467
super nice,230,5,0.007147962830593281
warranty company,228,5,0.007085806632066383
extremely helpful,227,5,0.007054728532802933
yelp reviews,219,5,0.006806103738695341
months ago,214,5,0.006650713242378096
apartment complex,212,5,0.006588557043851198
ni highly,212,5,0.006588557043851198
24 hours,210,5,0.0065264008453243
service call,210,5,0.0065264008453243
10 minutes,207,5,0.006433166547533953
extra mile,206,5,0.006402088448270503
20 minutes,204,5,0.0063399322497436055
2 days,203,5,0.006308854150480157
1 2,194,5,0.006029151257109115
front yard,191,5,0.005935916959318768
wonderful job,189,5,0.00587376076079187
pest control,183,5,0.0056872921652111755
cleaning service,181,5,0.005625135966684278
time frame,179,5,0.00556297976815738
family owned,177,5,0.005500823569630481
pool service,177,5,0.005500823569630481
3 hours,164,5,0.005096808279205643
property manager,164,5,0.005096808279205643
professional courteous,160,5,0.004972495882151848
5 minutes,158,5,0.00491033968362495
nice guy,158,5,0.00491033968362495
extremely knowledgeable,156,5,0.004848183485098051
absolutely love,155,5,0.0048171053858346025
water softener,155,5,0.0048171053858346025
phone calls,154,5,0.004786027286571153
job cleaning,152,5,0.004723871088044255
short notice,152,5,0.004723871088044255
estate agent,151,5,0.004692792988780806
garage doors,151,5,0.004692792988780806
extremely happy,150,5,0.004661714889517357
friendly staff,150,5,0.004661714889517357
