bigram,n,star,pec
wait time,131,1,0.004679072757795478
front door,130,1,0.004643354645140551
caesar salad,129,1,0.004607636532485623
dress code,129,1,0.004607636532485623
mediocre food,128,1,0.004571918419830696
gift card,127,1,0.004536200307175769
horrible food,127,1,0.004536200307175769
months ago,127,1,0.004536200307175769
food service,126,1,0.004500482194520841
weeks ago,121,1,0.004321891631246205
horrible customer,120,1,0.0042861735185912775
ice cream,120,1,0.0042861735185912775
5 star,119,1,0.004250455405936351
wild wings,118,1,0.004214737293281423
mashed potatoes,117,1,0.0041790191806264955
beer selection,116,1,0.004143301067971569
15 20,115,1,0.004107582955316641
fish tacos,115,1,0.004107582955316641
nthe service,115,1,0.004107582955316641
story short,113,1,0.004036146730006787
negative stars,112,1,0.004000428617351859
fast food,111,1,0.003964710504696932
terrible food,110,1,0.003928992392042005
45 mins,109,1,0.0038932742793870772
happy hour,4544,5,0.06394236181470224
highly recommend,4368,5,0.061465721040189124
las vegas,2882,5,0.04055499268265226
customer service,1959,5,0.027566700439040866
beer selection,1560,5,0.021952043228638973
top notch,1500,5,0.02110773387369132
5 stars,1474,5,0.02074186648654734
friendly staff,1437,5,0.020221209050996284
super friendly,1309,5,0.01842001576044129
amazing food,1196,5,0.016829899808623212
live music,1139,5,0.016027805921422944
excellent service,1137,5,0.01599966227625802
dining experience,1014,5,0.014268828098615332
nthe food,1004,5,0.014128109872790723
ice cream,987,5,0.013888888888888888
fried chicken,979,5,0.013776314308229202
delicious food,956,5,0.013452662388832602
mexican food,954,5,0.01342451874366768
date night,949,5,0.013354159630755376
wait staff,947,5,0.013326015985590453
pork belly,861,5,0.012115839243498818
highly recommended,844,5,0.011876618259596983
love love,769,5,0.010821231565912416
excellent food,754,5,0.010610154227175504
sweet potato,750,5,0.01055386693684566
cooked perfectly,747,5,0.010511651469098278
saturday night,739,5,0.01039907688843859
friday night,723,5,0.010173927727119217
friendly service,714,5,0.01004728132387707
hidden gem,704,5,0.00990656309805246
5 star,702,5,0.009878419452887538
amazing service,685,5,0.009639198468985703
bloody mary,665,5,0.009357762017336485
absolutely delicious,658,5,0.009259259259259259
craft beer,632,5,0.008893391872115276
absolutely amazing,619,5,0.008710458178543285
wine list,609,5,0.008569739952718676
gluten free,602,5,0.00847123719464145
late night,594,5,0.008358662613981762
mashed potatoes,589,5,0.008288303501069459
nthe service,581,5,0.008175728920409771
perfectly cooked,581,5,0.008175728920409771
pulled pork,574,5,0.008077226162332545
bar food,569,5,0.008006867049420241
super nice,565,5,0.007950579759090397
pleasantly surprised,564,5,0.007936507936507936
absolutely love,561,5,0.007894292468760554
food service,527,5,0.007415850500956884
grilled cheese,526,5,0.007401778678374423
prime rib,525,5,0.007387706855791962
fish tacos,517,5,0.007275132275132275
awesome food,511,5,0.00719070133963751
short rib,485,5,0.006824833952493527
chicken wings,472,5,0.006641900258921535
wine selection,463,5,0.006515253855679388
goat cheese,459,5,0.006458966565349544
sports bar,447,5,0.006290104694360013
menu items,443,5,0.00623381740403017
onion rings,442,5,0.006219745581447709
medium rare,440,5,0.006191601936282787
sea bass,439,5,0.006177530113700327
chicken sandwich,427,5,0.006008668242710796
fried rice,423,5,0.005952380952380952
filet mignon,419,5,0.005896093662051109
caesar salad,410,5,0.005769447258808961
outdoor seating,409,5,0.0057553754362265
craft beers,398,5,0.00560058538781943
french toast,396,5,0.005572441742654508
potato fries,389,5,0.005473938984577283
dive bar,388,5,0.005459867161994821
carne asada,385,5,0.005417651694247439
1 2,384,5,0.005403579871664978
favorite restaurant,379,5,0.005333220758752674
indian food,372,5,0.005234718000675448
5 5,371,5,0.005220646178092986
crab cakes,370,5,0.005206574355510526
italian food,367,5,0.005164358887763143
service food,367,5,0.005164358887763143
short ribs,360,5,0.005065856129685917
awesome service,358,5,0.005037712484520995
brussel sprouts,355,5,0.004995497016773613
amazing experience,353,5,0.004967353371608691
outdoor patio,351,5,0.004939209726443769
nthe staff,349,5,0.004911066081278847
fun atmosphere,346,5,0.0048688506135314644
absolutely loved,343,5,0.004826635145784082
reasonable prices,343,5,0.004826635145784082
french fries,342,5,0.0048125633232016215
blue cheese,341,5,0.00479849150061916
drink specials,340,5,0.0047844196780366995
bread pudding,337,5,0.004742204210289317
deviled eggs,333,5,0.004685916919959473
nice atmosphere,333,5,0.004685916919959473
thai food,330,5,0.004643701452212091
food drinks,329,5,0.004629629629629629
totally worth,329,5,0.004629629629629629
drink menu,326,5,0.004587414161882247
street tacos,326,5,0.004587414161882247
mexican restaurant,321,5,0.0045170550489699425
cheese curds,319,5,0.004488911403805021
happy hour,867,2,0.04808118899733806
2 stars,680,2,0.03771073646850044
10 minutes,678,2,0.037599822537710735
15 minutes,592,2,0.032830523513753325
20 minutes,586,2,0.032497781721384206
customer service,585,2,0.03244232475598935
30 minutes,446,2,0.024733806566104702
nthe food,432,2,0.023957409050576754
wait staff,354,2,0.019631765749778173
saturday night,308,2,0.017080745341614908
beer selection,304,2,0.01685891748003549
las vegas,301,2,0.016692546583850932
medium rare,284,2,0.01574977817213842
friday night,282,2,0.015638864241348714
45 minutes,272,2,0.015084294587400177
5 minutes,255,2,0.014141526175687666
poor service,230,2,0.012755102040816327
1 2,229,2,0.012699645075421474
nthe service,210,2,0.011645962732919254
fried chicken,206,2,0.01142413487133984
bar food,204,2,0.011313220940550133
slow service,200,2,0.011091393078970719
bad service,190,2,0.010536823425022183
mexican food,190,2,0.010536823425022183
3 times,187,2,0.010370452528837622
sports bar,183,2,0.010148624667258207
onion rings,173,2,0.009594055013309672
1 star,172,2,0.009538598047914819
dining experience,172,2,0.009538598047914819
front desk,172,2,0.009538598047914819
mashed potatoes,171,2,0.009483141082519965
chicken sandwich,165,2,0.009150399290150843
french fries,165,2,0.009150399290150843
40 minutes,163,2,0.009039485359361136
ice cream,156,2,0.00865128660159716
sweet potato,155,2,0.008595829636202307
5 stars,153,2,0.008484915705412599
pulled pork,153,2,0.008484915705412599
2 star,149,2,0.008263087843833186
prime rib,145,2,0.008041259982253772
chicken wings,144,2,0.007985803016858917
food quality,143,2,0.007930346051464063
fish tacos,140,2,0.007763975155279503
terrible service,140,2,0.007763975155279503
dance floor,139,2,0.00770851818988465
caesar salad,135,2,0.007486690328305235
pork belly,133,2,0.007375776397515528
mediocre food,132,2,0.007320319432120674
minute wait,131,2,0.007264862466725821
2 hours,130,2,0.0072094055013309675
ten minutes,129,2,0.0071539485359361134
write home,129,2,0.0071539485359361134
food arrived,128,2,0.00709849157054126
bbq sauce,123,2,0.006821206743566992
credit card,123,2,0.006821206743566992
multiple times,122,2,0.006765749778172138
hot sauce,121,2,0.006710292812777285
bad experience,119,2,0.006599378881987578
gluten free,118,2,0.006543921916592724
sour cream,117,2,0.006488464951197871
25 minutes,116,2,0.006433007985803017
food service,115,2,0.006377551020408163
wait time,115,2,0.006377551020408163
parking lot,114,2,0.006322094055013309
blue cheese,112,2,0.006211180124223602
horrible service,111,2,0.006155723158828749
nour server,111,2,0.006155723158828749
potato fries,110,2,0.006100266193433896
live music,109,2,0.006044809228039042
grilled cheese,108,2,0.005989352262644188
star rating,107,2,0.005933895297249334
5 star,106,2,0.005878438331854481
3 4,105,2,0.005822981366459627
olive garden,101,2,0.005601153504880213
entire time,100,2,0.005545696539485359
iced tea,100,2,0.005545696539485359
pretty bad,100,2,0.005545696539485359
empty tables,99,2,0.005490239574090506
lacked flavor,97,2,0.005379325643300799
bloody mary,96,2,0.005323868677905945
late night,96,2,0.005323868677905945
portion size,96,2,0.005323868677905945
deep fried,95,2,0.0052684117125110915
luke warm,95,2,0.0052684117125110915
goat cheese,91,2,0.005046583850931677
menu items,91,2,0.005046583850931677
saving grace,91,2,0.005046583850931677
4 stars,90,2,0.004991126885536824
crab cakes,90,2,0.004991126885536824
mexican restaurant,90,2,0.004991126885536824
onion soup,89,2,0.00493566992014197
wine list,89,2,0.00493566992014197
average food,88,2,0.0048802129547471165
3 stars,86,2,0.004769299023957409
fast food,86,2,0.004769299023957409
star review,86,2,0.004769299023957409
carne asada,85,2,0.004713842058562555
10 15,84,2,0.004658385093167702
gift card,84,2,0.004658385093167702
4 people,83,2,0.004602928127772848
happy hour,1721,3,0.06976932744152106
3 stars,953,3,0.03863461304576965
nthe food,591,3,0.023959135687355575
customer service,533,3,0.0216078161105931
fried chicken,492,3,0.019945676409778245
beer selection,479,3,0.019418656504641828
5 stars,452,3,0.018324076701666192
friday night,451,3,0.01828353670896339
15 minutes,416,3,0.016864636964365347
pork belly,415,3,0.016824096971662546
10 minutes,411,3,0.01666193700085134
wait staff,404,3,0.01637815705193173
las vegas,402,3,0.01629707706652613
nthe service,398,3,0.016134917095714924
saturday night,398,3,0.016134917095714924
ice cream,395,3,0.016013297117606518
20 minutes,376,3,0.015243037256253294
bar food,372,3,0.015080877285442088
sports bar,336,3,0.01362143754814124
sweet potato,326,3,0.013216037621113228
1 2,318,3,0.012891717679490818
30 minutes,313,3,0.012689017715976811
medium rare,292,3,0.011837677869217984
4 stars,289,3,0.01171605789110958
mashed potatoes,278,3,0.011270117971378765
chicken sandwich,259,3,0.01049985811002554
mexican food,255,3,0.010337698139214336
live music,253,3,0.010256618153808732
