bigram,n,year,star,pec
10 minute,8,2015,1,0.0060377358490566035
3 days,8,2015,1,0.0060377358490566035
bad day,8,2015,1,0.0060377358490566035
bad experience,8,2015,1,0.0060377358490566035
brown sugar,8,2015,1,0.0060377358490566035
cirque du,8,2015,1,0.0060377358490566035
complete waste,8,2015,1,0.0060377358490566035
extremely disappointed,8,2015,1,0.0060377358490566035
eye contact,8,2015,1,0.0060377358490566035
fast food,8,2015,1,0.0060377358490566035
italian grotto,8,2015,1,0.0060377358490566035
liberty market,8,2015,1,0.0060377358490566035
mexican restaurant,8,2015,1,0.0060377358490566035
poor service,8,2015,1,0.0060377358490566035
pretty bad,8,2015,1,0.0060377358490566035
saturday night,8,2015,1,0.0060377358490566035
story short,8,2015,1,0.0060377358490566035
terrible customer,8,2015,1,0.0060377358490566035
toilet paper,8,2015,1,0.0060377358490566035
tour guide,8,2015,1,0.0060377358490566035
wave pool,8,2015,1,0.0060377358490566035
10 people,7,2015,1,0.005283018867924529
2 weeks,7,2015,1,0.005283018867924529
awful experience,7,2015,1,0.005283018867924529
blue cheese,7,2015,1,0.005283018867924529
deep fried,7,2015,1,0.005283018867924529
dining experience,7,2015,1,0.005283018867924529
du soleil,7,2015,1,0.005283018867924529
food truck,7,2015,1,0.005283018867924529
friday night,7,2015,1,0.005283018867924529
garlic bread,7,2015,1,0.005283018867924529
gas station,7,2015,1,0.005283018867924529
guest list,7,2015,1,0.005283018867924529
highly recommend,7,2015,1,0.005283018867924529
paying customers,7,2015,1,0.005283018867924529
serendipity 3,7,2015,1,0.005283018867924529
sour cream,7,2015,1,0.005283018867924529
worst customer,7,2015,1,0.005283018867924529
worst experience,7,2015,1,0.005283018867924529
1 reason,6,2015,1,0.004528301886792453
10 15,6,2015,1,0.004528301886792453
10 min,6,2015,1,0.004528301886792453
10 mins,6,2015,1,0.004528301886792453
2 months,6,2015,1,0.004528301886792453
30 mins,6,2015,1,0.004528301886792453
5 min,6,2015,1,0.004528301886792453
6 months,6,2015,1,0.004528301886792453
7 00,6,2015,1,0.004528301886792453
bad food,6,2015,1,0.004528301886792453
bad review,6,2015,1,0.004528301886792453
las vegas,50,2017,3,0.050761421319796954
3 stars,30,2017,3,0.030456852791878174
ice cream,26,2017,3,0.026395939086294416
happy hour,23,2017,3,0.023350253807106598
fremont street,22,2017,3,0.02233502538071066
cirque du,20,2017,3,0.02030456852791878
du soleil,19,2017,3,0.019289340101522844
gift shop,18,2017,3,0.018274111675126905
5 stars,16,2017,3,0.016243654822335026
