bigram,n,star,pec
pet sitting,48,5,0.0052782054101605455
2 weeks,47,5,0.005168242797448867
grooming services,47,5,0.005168242797448867
vet office,47,5,0.005168242797448867
super clean,46,5,0.005058280184737189
24 7,45,5,0.004948317572025511
comfortable leaving,45,5,0.004948317572025511
dog wash,45,5,0.004948317572025511
parking lot,45,5,0.004948317572025511
teeth cleaning,44,5,0.004838354959313834
30 minutes,43,5,0.0047283923466021555
emergency vet,43,5,0.0047283923466021555
health issues,43,5,0.0047283923466021555
park animal,43,5,0.0047283923466021555
reasonable price,43,5,0.0047283923466021555
extremely knowledgeable,42,5,0.004618429733890477
nmy dog,42,5,0.004618429733890477
rainbow bridge,42,5,0.004618429733890477
super helpful,42,5,0.004618429733890477
veterinary care,42,5,0.004618429733890477
pet stores,41,5,0.004508467121178799
separation anxiety,41,5,0.004508467121178799
wonderful experience,41,5,0.004508467121178799
10 stars,40,5,0.004398504508467121
amazing care,40,5,0.004398504508467121
finally found,40,5,0.004398504508467121
customer service,26,3,0.04498269896193772
3 stars,23,3,0.039792387543252594
dog food,20,3,0.03460207612456748
front desk,18,3,0.031141868512110725
dog park,16,3,0.02768166089965398
pet store,12,3,0.020761245674740483
15 minutes,11,3,0.01903114186851211
kennel cough,11,3,0.01903114186851211
5 stars,10,3,0.01730103806228374
30 minutes,9,3,0.015570934256055362
adoption center,9,3,0.015570934256055362
animal hospital,9,3,0.015570934256055362
cat food,9,3,0.015570934256055362
free shipping,9,3,0.015570934256055362
ghost town,8,3,0.01384083044982699
nail trim,8,3,0.01384083044982699
parking lot,8,3,0.01384083044982699
pet stores,8,3,0.01384083044982699
red rock,8,3,0.01384083044982699
wait time,8,3,0.01384083044982699
2 hours,7,3,0.012110726643598616
20 minutes,7,3,0.012110726643598616
desk staff,7,3,0.012110726643598616
vet tech,7,3,0.012110726643598616
1 2,6,3,0.010380622837370242
akc registered,6,3,0.010380622837370242
cat attract,6,3,0.010380622837370242
dog toys,6,3,0.010380622837370242
mixed feelings,6,3,0.010380622837370242
pet food,6,3,0.010380622837370242
phone call,6,3,0.010380622837370242
regular vet,6,3,0.010380622837370242
24 7,5,3,0.00865051903114187
3 days,5,3,0.00865051903114187
3 hours,5,3,0.00865051903114187
45 minutes,5,3,0.00865051903114187
5 star,5,3,0.00865051903114187
blue buffalo,5,3,0.00865051903114187
bonnie springs,5,3,0.00865051903114187
credit card,5,3,0.00865051903114187
dog grooming,5,3,0.00865051903114187
dr elsey's,5,3,0.00865051903114187
dr hoban,5,3,0.00865051903114187
elsey's cat,5,3,0.00865051903114187
nice people,5,3,0.00865051903114187
pet owner,5,3,0.00865051903114187
poor dog,5,3,0.00865051903114187
10 minutes,4,3,0.006920415224913495
15 20,4,3,0.006920415224913495
adorable animals,4,3,0.006920415224913495
allergic reaction,4,3,0.006920415224913495
annual shots,4,3,0.006920415224913495
bad day,4,3,0.006920415224913495
bedside manner,4,3,0.006920415224913495
buffalo dog,4,3,0.006920415224913495
cat adoption,4,3,0.006920415224913495
cat cafe,4,3,0.006920415224913495
cat carrier,4,3,0.006920415224913495
cat owner,4,3,0.006920415224913495
dog owners,4,3,0.006920415224913495
dog's nails,4,3,0.006920415224913495
doggie district,4,3,0.006920415224913495
grooming services,4,3,0.006920415224913495
heart murmur,4,3,0.006920415224913495
humane society,4,3,0.006920415224913495
kidney values,4,3,0.006920415224913495
low cost,4,3,0.006920415224913495
nthe store,4,3,0.006920415224913495
pet hospital,4,3,0.006920415224913495
pet owners,4,3,0.006920415224913495
petting zoo,4,3,0.006920415224913495
reception staff,4,3,0.006920415224913495
rock canyon,4,3,0.006920415224913495
vet office,4,3,0.006920415224913495
wellness plan,4,3,0.006920415224913495
2 dogs,3,3,0.005190311418685121
2 stars,3,3,0.005190311418685121
2 weeks,3,3,0.005190311418685121
20 minute,3,3,0.005190311418685121
3 star,3,3,0.005190311418685121
45 min,3,3,0.005190311418685121
5 minutes,3,3,0.005190311418685121
adoption fee,3,3,0.005190311418685121
agressive dog,3,3,0.005190311418685121
anal gland,3,3,0.005190311418685121
animal services,3,3,0.005190311418685121
answering service,3,3,0.005190311418685121
banfield pet,3,3,0.005190311418685121
black cat,3,3,0.005190311418685121
blue cheese,3,3,0.005190311418685121
boarding services,3,3,0.005190311418685121
bottom line,3,3,0.005190311418685121
breakfast burrito,3,3,0.005190311418685121
business hours,3,3,0.005190311418685121
cat litter,3,3,0.005190311418685121
cat mocha,3,3,0.005190311418685121
cat slippers,3,3,0.005190311418685121
day care,3,3,0.005190311418685121
dog training,3,3,0.005190311418685121
dog wash,3,3,0.005190311418685121
highly recommend,732,5,0.10027397260273972
animal hospital,595,5,0.08150684931506849
customer service,264,5,0.03616438356164384
front desk,161,5,0.022054794520547944
las vegas,143,5,0.01958904109589041
dog food,134,5,0.018356164383561645
super friendly,132,5,0.01808219178082192
fur babies,125,5,0.017123287671232876
day care,119,5,0.0163013698630137
friendly staff,117,5,0.01602739726027397
entire staff,116,5,0.01589041095890411
fur baby,108,5,0.014794520547945205
highly recommended,98,5,0.013424657534246575
vet tech,89,5,0.012191780821917807
animal clinic,88,5,0.012054794520547946
taking care,88,5,0.012054794520547946
pet store,87,5,0.011917808219178082
5 stars,86,5,0.011780821917808219
feel comfortable,86,5,0.011780821917808219
top notch,84,5,0.011506849315068493
regular vet,83,5,0.01136986301369863
absolutely love,82,5,0.011232876712328766
amazing job,79,5,0.010821917808219178
nthe staff,73,5,0.01
bow wow,70,5,0.009589041095890411
camp bow,70,5,0.009589041095890411
dog loves,70,5,0.009589041095890411
dog park,67,5,0.009178082191780823
