bigram,n,year,star,pec
tickets online,47,2018,3,0.007309486780715396
cirque du,46,2018,3,0.007153965785381027
reclining seats,46,2018,3,0.007153965785381027
slot machines,44,2018,3,0.006842923794712286
pretty decent,43,2018,3,0.006687402799377916
5 minutes,42,2018,3,0.006531881804043546
friendly staff,42,2018,3,0.006531881804043546
hotel casino,42,2018,3,0.006531881804043546
pretty nice,42,2018,3,0.006531881804043546
45 minutes,41,2018,3,0.006376360808709175
nthe hotel,41,2018,3,0.006376360808709175
2 stars,40,2018,3,0.006220839813374806
box office,40,2018,3,0.006220839813374806
1 star,38,2018,3,0.005909797822706065
3 times,38,2018,3,0.005909797822706065
birthday party,38,2018,3,0.005909797822706065
convention center,38,2018,3,0.005909797822706065
nthe staff,38,2018,3,0.005909797822706065
strip view,38,2018,3,0.005909797822706065
wait staff,38,2018,3,0.005909797822706065
1 hour,37,2018,3,0.0057542768273716955
family friendly,37,2018,3,0.0057542768273716955
golden nugget,37,2018,3,0.0057542768273716955
mashed potatoes,37,2018,3,0.0057542768273716955
super friendly,37,2018,3,0.0057542768273716955
video games,37,2018,3,0.0057542768273716955
air conditioning,36,2018,3,0.005598755832037325
late night,36,2018,3,0.005598755832037325
multiple times,36,2018,3,0.005598755832037325
3 nights,34,2018,3,0.0052877138413685845
beer selection,34,2018,3,0.0052877138413685845
play games,34,2018,3,0.0052877138413685845
video poker,34,2018,3,0.0052877138413685845
3 hours,33,2018,3,0.005132192846034215
bar food,33,2018,3,0.005132192846034215
bowling alley,33,2018,3,0.005132192846034215
concession stand,33,2018,3,0.005132192846034215
food trucks,33,2018,3,0.005132192846034215
hard time,33,2018,3,0.005132192846034215
crab legs,32,2018,3,0.004976671850699844
king bed,32,2018,3,0.004976671850699844
movie theatre,32,2018,3,0.004976671850699844
2 3,31,2018,3,0.004821150855365474
30 min,31,2018,3,0.004821150855365474
4 5,31,2018,3,0.004821150855365474
bad experience,31,2018,3,0.004821150855365474
hard rock,31,2018,3,0.004821150855365474
mobile check,31,2018,3,0.004821150855365474
sports bar,31,2018,3,0.004821150855365474
table games,31,2018,3,0.004821150855365474
front desk,614,2015,2,0.09676910953506698
customer service,340,2015,2,0.05358550039401103
las vegas,291,2015,2,0.0458628841607565
resort fee,286,2015,2,0.045074862096138694
2 stars,204,2015,2,0.03215130023640662
30 minutes,149,2015,2,0.023483057525610716
15 minutes,146,2015,2,0.02301024428684003
20 minutes,144,2015,2,0.02269503546099291
10 minutes,115,2015,2,0.018124507486209612
parking lot,110,2015,2,0.017336485421591805
credit card,96,2015,2,0.015130023640661938
45 minutes,82,2015,2,0.012923561859732072
happy hour,81,2015,2,0.01276595744680851
saturday night,74,2015,2,0.011662726556343577
mandalay bay,71,2015,2,0.011189913317572893
2 hours,69,2015,2,0.010874704491725768
live music,69,2015,2,0.010874704491725768
5 minutes,68,2015,2,0.010717100078802206
resort fees,66,2015,2,0.010401891252955082
coffee maker,63,2015,2,0.009929078014184398
cigarette smoke,60,2015,2,0.009456264775413711
friday night,60,2015,2,0.009456264775413711
3 times,58,2015,2,0.009141055949566587
nthe food,58,2015,2,0.009141055949566587
hot water,56,2015,2,0.008825847123719465
casino floor,55,2015,2,0.008668242710795903
ice cream,55,2015,2,0.008668242710795903
1 star,54,2015,2,0.00851063829787234
hot chocolate,54,2015,2,0.00851063829787234
5 star,52,2015,2,0.008195429472025216
dance floor,52,2015,2,0.008195429472025216
1 2,50,2015,2,0.007880220646178092
circus circus,50,2015,2,0.007880220646178092
mini bar,50,2015,2,0.007880220646178092
prime rib,50,2015,2,0.007880220646178092
5 stars,48,2015,2,0.007565011820330969
hard rock,48,2015,2,0.007565011820330969
hotel casino,48,2015,2,0.007565011820330969
wait staff,48,2015,2,0.007565011820330969
2 star,47,2015,2,0.007407407407407408
food court,47,2015,2,0.007407407407407408
parking garage,47,2015,2,0.007407407407407408
pretty cool,47,2015,2,0.007407407407407408
crab legs,46,2015,2,0.007249802994483846
frozen hot,46,2015,2,0.007249802994483846
king bed,46,2015,2,0.007249802994483846
cirque du,45,2015,2,0.0070921985815602835
slot machines,45,2015,2,0.0070921985815602835
40 minutes,44,2015,2,0.006934594168636721
mini fridge,44,2015,2,0.006934594168636721
du soleil,43,2015,2,0.00677698975571316
monte carlo,43,2015,2,0.00677698975571316
3 stars,41,2015,2,0.006461780929866036
security guard,41,2015,2,0.006461780929866036
strip view,41,2015,2,0.006461780929866036
motel 6,40,2015,2,0.006304176516942475
wi fi,40,2015,2,0.006304176516942475
air conditioning,39,2015,2,0.006146572104018913
bottle service,39,2015,2,0.006146572104018913
multiple times,39,2015,2,0.006146572104018913
planet hollywood,39,2015,2,0.006146572104018913
star hotel,39,2015,2,0.006146572104018913
2 nights,38,2015,2,0.005988967691095351
entire time,38,2015,2,0.005988967691095351
cell phone,37,2015,2,0.0058313632781717886
desk staff,36,2015,2,0.005673758865248227
walking distance,36,2015,2,0.005673758865248227
bad experience,35,2015,2,0.005516154452324665
box office,35,2015,2,0.005516154452324665
fremont street,35,2015,2,0.005516154452324665
late check,34,2015,2,0.005358550039401103
nthe hotel,34,2015,2,0.005358550039401103
nthe pool,34,2015,2,0.005358550039401103
3 days,33,2015,2,0.005200945626477541
3 nights,33,2015,2,0.005200945626477541
4 stars,33,2015,2,0.005200945626477541
guest services,33,2015,2,0.005200945626477541
nthe casino,33,2015,2,0.005200945626477541
25 minutes,32,2015,2,0.00504334121355398
mgm grand,32,2015,2,0.00504334121355398
night stay,32,2015,2,0.00504334121355398
french fries,31,2015,2,0.004885736800630418
movie theater,31,2015,2,0.004885736800630418
nthe service,31,2015,2,0.004885736800630418
2 people,30,2015,2,0.004728132387706856
30 min,30,2015,2,0.004728132387706856
half hour,30,2015,2,0.004728132387706856
people waiting,30,2015,2,0.004728132387706856
toilet paper,30,2015,2,0.004728132387706856
coffee pot,29,2015,2,0.004570527974783294
free parking,29,2015,2,0.004570527974783294
hot dog,29,2015,2,0.004570527974783294
king size,29,2015,2,0.004570527974783294
late night,29,2015,2,0.004570527974783294
loud music,29,2015,2,0.004570527974783294
ten minutes,29,2015,2,0.004570527974783294
time staying,29,2015,2,0.004570527974783294
water pressure,29,2015,2,0.004570527974783294
golden nugget,28,2015,2,0.004412923561859732
house keeping,28,2015,2,0.004412923561859732
front desk,1545,2018,1,0.1067800124403898
customer service,1476,2018,1,0.102011196350819
las vegas,669,2018,1,0.04623678208583869
resort fee,508,2018,1,0.03510954454350681
30 minutes,350,2018,1,0.024189646831156264
20 minutes,337,2018,1,0.02329117423457046
10 minutes,320,2018,1,0.02211624853134287
15 minutes,315,2018,1,0.02177068214804064
credit card,261,2018,1,0.01803856520837653
2 hours,230,2018,1,0.01589605363190269
worst experience,225,2018,1,0.015550487248600456
resort fees,215,2018,1,0.014859354481995992
security guard,211,2018,1,0.014582901375354205
parking lot,204,2018,1,0.01409910843873108
worst hotel,188,2018,1,0.012993296012163936
45 minutes,175,2018,1,0.012094823415578132
1 star,171,2018,1,0.011818370308936347
extremely rude,165,2018,1,0.011403690648973668
horrible experience,165,2018,1,0.011403690648973668
bed bugs,159,2018,1,0.01098901098901099
guest services,159,2018,1,0.01098901098901099
bad experience,143,2018,1,0.009883198562443846
multiple times,141,2018,1,0.009744972009122952
5 minutes,140,2018,1,0.009675858732462506
worst customer,130,2018,1,0.008984725965858042
3 times,128,2018,1,0.008846499412537148
0 stars,127,2018,1,0.008777386135876702
hot water,127,2018,1,0.008777386135876702
horrible service,121,2018,1,0.008362706475914023
1 2,114,2018,1,0.007878913539290898
motel 6,113,2018,1,0.007809800262630452
terrible service,112,2018,1,0.0077406869859700045
horrible customer,110,2018,1,0.007602460432649112
3 hours,108,2018,1,0.0074642338793282186
toilet paper,101,2018,1,0.006980440942705094
friday night,100,2018,1,0.0069113276660446475
mandalay bay,99,2018,1,0.0068422143893842
movie theater,99,2018,1,0.0068422143893842
terrible experience,99,2018,1,0.0068422143893842
poor customer,98,2018,1,0.006773101112723754
parking garage,95,2018,1,0.006565761282742415
security guards,94,2018,1,0.006496648006081968
30 min,92,2018,1,0.0063584214527610755
late check,92,2018,1,0.0063584214527610755
1 hour,91,2018,1,0.006289308176100629
circus circus,91,2018,1,0.006289308176100629
5 star,88,2018,1,0.00608196834611929
hotel staff,88,2018,1,0.00608196834611929
saturday night,88,2018,1,0.00608196834611929
worst service,88,2018,1,0.00608196834611929
box office,85,2018,1,0.00587462851613795
poor service,84,2018,1,0.005805515239477504
3 days,80,2018,1,0.005529062132835718
golden nugget,80,2018,1,0.005529062132835718
coffee maker,78,2018,1,0.005390835579514825
40 minutes,76,2018,1,0.005252609026193932
bad service,75,2018,1,0.005183495749533485
4 hours,74,2018,1,0.005114382472873039
entire time,74,2018,1,0.005114382472873039
3 nights,73,2018,1,0.005045269196212593
strip view,72,2018,1,0.004976155919552146
story short,71,2018,1,0.004907042642891699
20 mins,70,2018,1,0.004837929366231253
happy hour,69,2018,1,0.004768816089570807
night stay,69,2018,1,0.004768816089570807
2 days,68,2018,1,0.00469970281291036
birthday party,67,2018,1,0.0046305895362499135
hard rock,67,2018,1,0.0046305895362499135
house keeping,67,2018,1,0.0046305895362499135
pit boss,67,2018,1,0.0046305895362499135
terrible customer,67,2018,1,0.0046305895362499135
hotel experience,66,2018,1,0.004561476259589467
2 people,64,2018,1,0.004423249706268574
25 minutes,64,2018,1,0.004423249706268574
30 mins,64,2018,1,0.004423249706268574
bed bug,64,2018,1,0.004423249706268574
park mgm,64,2018,1,0.004423249706268574
ten minutes,64,2018,1,0.004423249706268574
extremely disappointed,63,2018,1,0.0043541364296081275
hotel casino,63,2018,1,0.0043541364296081275
15 mins,62,2018,1,0.004285023152947681
air conditioning,62,2018,1,0.004285023152947681
2 nights,61,2018,1,0.004215909876287235
cigarette smoke,61,2018,1,0.004215909876287235
disturb sign,61,2018,1,0.004215909876287235
wait staff,61,2018,1,0.004215909876287235
cell phone,60,2018,1,0.004146796599626789
food court,60,2018,1,0.004146796599626789
food poisoning,60,2018,1,0.004146796599626789
hard earned,60,2018,1,0.004146796599626789
king bed,60,2018,1,0.004146796599626789
monte carlo,60,2018,1,0.004146796599626789
phone calls,60,2018,1,0.004146796599626789
15 min,59,2018,1,0.0040776833229663415
highly recommend,59,2018,1,0.0040776833229663415
hotel manager,59,2018,1,0.0040776833229663415
mgm grand,58,2018,1,0.004008570046305895
slot machines,58,2018,1,0.004008570046305895
4 times,57,2018,1,0.003939456769645449
concession stand,57,2018,1,0.003939456769645449
las vegas,1608,2016,5,0.09560615970033891
highly recommend,1384,2016,5,0.08228788869730662
customer service,656,2016,5,0.03900350793745169
live music,450,2016,5,0.026755455140020215
happy hour,416,2016,5,0.024733931862774245
friendly staff,344,2016,5,0.020453059040371008
top notch,333,2016,5,0.01979903680361496
5 stars,327,2016,5,0.019442297401748024
super friendly,314,2016,5,0.018669362031036328
front desk,303,2016,5,0.01801533979428028
highly recommended,247,2016,5,0.014685772043522206
movie theater,223,2016,5,0.013258814436054462
date night,213,2016,5,0.012664248766276235
super nice,200,2016,5,0.01189131339556454
5 star,197,2016,5,0.011712943694631071
gift shop,197,2016,5,0.011712943694631071
love love,194,2016,5,0.011534573993697604
bad seat,184,2016,5,0.010940008323919377
birthday party,180,2016,5,0.010702182056008086
arcade games,178,2016,5,0.010583268922052441
cirque du,178,2016,5,0.010583268922052441
ice cream,177,2016,5,0.010523812355074618
du soleil,170,2016,5,0.010107616386229859
