bigram,n,star
nice selection,164,5
yelp reviews,158,5
entire process,157,5
vape shop,157,5
sales person,155,5
2 days,153,5
nthe store,153,5
sales people,152,5
entire staff,150,5
phone call,147,5
2 weeks,146,5
awesome job,145,5
timely manner,145,5
awesome customer,142,5
bad experience,141,5
local business,140,5
friendly knowledgeable,139,5
incredibly helpful,139,5
pleasant experience,134,5
wide selection,134,5
super clean,133,5
super cool,132,5
45 minutes,129,5
food court,128,5
awesome experience,126,5
hard drive,126,5
hidden gem,126,5
love coming,125,5
trader joe's,124,5
extremely happy,123,5
nice people,121,5
customer service,5192,1
worst customer,479,1
credit card,455,1
20 minutes,373,1
10 minutes,361,1
30 minutes,355,1
store manager,339,1
horrible customer,337,1
15 minutes,318,1
2 weeks,306,1
poor customer,293,1
front desk,272,1
phone call,270,1
sales person,264,1
home depot,260,1
las vegas,249,1
5 minutes,234,1
terrible customer,234,1
3 weeks,222,1
worst experience,216,1
1 star,210,1
weeks ago,207,1
2 hours,205,1
sales associate,205,1
phone calls,199,1
store credit,198,1
return policy,190,1
extremely rude,189,1
1 2,187,1
gift card,185,1
3 days,184,1
horrible experience,183,1
parking lot,183,1
bad experience,177,1
months ago,176,1
3 times,168,1
horrible service,168,1
45 minutes,161,1
multiple times,161,1
2 days,158,1
buyer beware,158,1
2 months,154,1
0 stars,145,1
sales people,140,1
3 months,139,1
cell phone,133,1
ni called,132,1
worst service,132,1
apple store,126,1
poor service,120,1
sales rep,119,1
days ago,118,1
story short,118,1
24 hours,115,1
6 months,115,1
bad customer,115,1
service skills,112,1
terrible service,112,1
30 days,110,1
terrible experience,110,1
2 3,107,1
5 days,106,1
eye contact,104,1
price match,103,1
bedroom set,102,1
negative stars,102,1
iphone 6,101,1
entire time,100,1
6 weeks,98,1
shopping experience,97,1
step foot,97,1
business days,95,1
4 days,94,1
absolute worst,94,1
wal mart,94,1
delivery date,93,1
eye exam,93,1
bad reviews,89,1
sales associates,88,1
poor quality,87,1
3 hours,86,1
4 times,86,1
bad service,85,1
40 minutes,83,1
hard earned,83,1
4 weeks,82,1
bottom line,82,1
corporate office,82,1
10 days,81,1
cash register,81,1
incredibly rude,81,1
card company,80,1
1 hour,79,1
customer care,79,1
4 hours,78,1
sales guy,77,1
david's bridal,76,1
loyal customer,76,1
hard drive,74,1
front door,73,1
customer service,6138,1
worst customer,585,1
credit card,545,1
10 minutes,465,1
home depot,454,1
horrible customer,439,1
20 minutes,429,1
store manager,426,1
15 minutes,415,1
30 minutes,413,1
2 weeks,357,1
poor customer,341,1
phone call,327,1
front desk,316,1
las vegas,306,1
5 minutes,297,1
sales person,289,1
terrible customer,288,1
worst experience,279,1
1 star,263,1
phone calls,261,1
extremely rude,259,1
sales associate,251,1
store credit,247,1
3 weeks,246,1
1 2,236,1
return policy,230,1
2 hours,228,1
3 times,224,1
0 stars,221,1
3 days,218,1
weeks ago,218,1
gift card,211,1
bad experience,204,1
horrible experience,203,1
2 days,202,1
2 months,199,1
months ago,198,1
horrible service,194,1
bad customer,192,1
45 minutes,191,1
sales people,186,1
parking lot,185,1
multiple times,181,1
3 months,179,1
buyer beware,171,1
6 months,168,1
apple store,156,1
story short,151,1
days ago,148,1
cell phone,146,1
ni called,146,1
terrible service,146,1
sales rep,137,1
terrible experience,134,1
price match,132,1
10 days,131,1
eye contact,131,1
service skills,129,1
4 days,125,1
grocery store,119,1
3 hours,118,1
5 days,118,1
poor service,117,1
eye exam,114,1
negative stars,114,1
worst service,112,1
4 times,110,1
entire time,110,1
2 3,109,1
30 days,108,1
living spaces,108,1
24 hours,107,1
shopping experience,107,1
4 weeks,106,1
6 weeks,104,1
bad service,104,1
called customer,103,1
delivery date,103,1
direct tv,101,1
horrible horrible,101,1
40 minutes,99,1
corporate office,97,1
poor quality,97,1
loyal customer,96,1
front door,95,1
step foot,95,1
business owner,94,1
4 months,92,1
business days,92,1
david's bridal,92,1
month ago,90,1
bad reviews,89,1
bottom line,88,1
hard earned,87,1
service experience,87,1
service rep,87,1
25 minutes,86,1
sales guy,86,1
customer care,85,1
