bigram,n,year,star,pec
rock canyon,4,2015,3,0.007722007722007722
spring mountain,4,2015,3,0.007722007722007722
sunny day,4,2015,3,0.007722007722007722
times square,4,2015,3,0.007722007722007722
tower city,4,2015,3,0.007722007722007722
1.5 hours,3,2015,3,0.005791505791505791
2 3,3,2015,3,0.005791505791505791
2 hour,3,2015,3,0.005791505791505791
2 hours,3,2015,3,0.005791505791505791
2 weeks,3,2015,3,0.005791505791505791
4 star,3,2015,3,0.005791505791505791
5 10,3,2015,3,0.005791505791505791
5 star,3,2015,3,0.005791505791505791
7 45,3,2015,3,0.005791505791505791
actual movie,3,2015,3,0.005791505791505791
business days,3,2015,3,0.005791505791505791
canadian beer,3,2015,3,0.005791505791505791
christmas story,3,2015,3,0.005791505791505791
city center,3,2015,3,0.005791505791505791
convenient location,3,2015,3,0.005791505791505791
decent library,3,2015,3,0.005791505791505791
food court,3,2015,3,0.005791505791505791
glass walls,3,2015,3,0.005791505791505791
information desk,3,2015,3,0.005791505791505791
jury duty,3,2015,3,0.005791505791505791
line moved,3,2015,3,0.005791505791505791
mail packages,3,2015,3,0.005791505791505791
main street,3,2015,3,0.005791505791505791
mgm grand,3,2015,3,0.005791505791505791
mountain ranch,3,2015,3,0.005791505791505791
performing arts,3,2015,3,0.005791505791505791
poor management,3,2015,3,0.005791505791505791
real line,3,2015,3,0.005791505791505791
security line,3,2015,3,0.005791505791505791
sight lines,3,2015,3,0.005791505791505791
skating rink,3,2015,3,0.005791505791505791
super friendly,3,2015,3,0.005791505791505791
tallest building,3,2015,3,0.005791505791505791
tourist trap,3,2015,3,0.005791505791505791
ups store,3,2015,3,0.005791505791505791
west village,3,2015,3,0.005791505791505791
written adventures,3,2015,3,0.005791505791505791
1 minute,2,2015,3,0.003861003861003861
10 days,2,2015,3,0.003861003861003861
10 min,2,2015,3,0.003861003861003861
10 minute,2,2015,3,0.003861003861003861
10 oz,2,2015,3,0.003861003861003861
15 20,2,2015,3,0.003861003861003861
las vegas,77,2015,4,0.09243697478991597
post office,46,2015,4,0.055222088835534214
cn tower,35,2015,4,0.04201680672268908
parking lot,35,2015,4,0.04201680672268908
pretty cool,18,2015,4,0.021608643457382955
city hall,16,2015,4,0.01920768307322929
4 stars,15,2015,4,0.01800720288115246
eiffel tower,14,2015,4,0.01680672268907563
glass floor,14,2015,4,0.01680672268907563
customer service,13,2015,4,0.015606242496998799
gift shop,13,2015,4,0.015606242496998799
north las,12,2015,4,0.014405762304921969
public library,12,2015,4,0.014405762304921969
tour guide,12,2015,4,0.014405762304921969
water street,12,2015,4,0.014405762304921969
5 stars,11,2015,4,0.013205282112845138
front desk,10,2015,4,0.012004801920768308
library system,10,2015,4,0.012004801920768308
post offices,10,2015,4,0.012004801920768308
10 minutes,9,2015,4,0.010804321728691477
15 minutes,9,2015,4,0.010804321728691477
highly recommend,9,2015,4,0.010804321728691477
library card,9,2015,4,0.010804321728691477
light rail,9,2015,4,0.010804321728691477
nthe staff,9,2015,4,0.010804321728691477
20 minutes,8,2015,4,0.009603841536614645
30 minutes,8,2015,4,0.009603841536614645
clark county,8,2015,4,0.009603841536614645
ice cream,8,2015,4,0.009603841536614645
observation deck,8,2015,4,0.009603841536614645
petting zoo,8,2015,4,0.009603841536614645
red rock,8,2015,4,0.009603841536614645
wait time,8,2015,4,0.009603841536614645
blue jays,7,2015,4,0.008403361344537815
coffee shop,7,2015,4,0.008403361344537815
community center,7,2015,4,0.008403361344537815
convention center,7,2015,4,0.008403361344537815
friendly staff,7,2015,4,0.008403361344537815
hotel de,7,2015,4,0.008403361344537815
local library,7,2015,4,0.008403361344537815
round trip,7,2015,4,0.008403361344537815
art museum,6,2015,4,0.007202881152460984
comfy chairs,6,2015,4,0.007202881152460984
de la,6,2015,4,0.007202881152460984
de ville,6,2015,4,0.007202881152460984
fish fry,6,2015,4,0.007202881152460984
nice library,6,2015,4,0.007202881152460984
top notch,6,2015,4,0.007202881152460984
union station,6,2015,4,0.007202881152460984
5 minutes,5,2015,4,0.006002400960384154
air conditioning,5,2015,4,0.006002400960384154
city halls,5,2015,4,0.006002400960384154
community centre,5,2015,4,0.006002400960384154
credit card,5,2015,4,0.006002400960384154
dog park,5,2015,4,0.006002400960384154
exact change,5,2015,4,0.006002400960384154
free parking,5,2015,4,0.006002400960384154
free wifi,5,2015,4,0.006002400960384154
guided tour,5,2015,4,0.006002400960384154
highland park,5,2015,4,0.006002400960384154
lake mead,5,2015,4,0.006002400960384154
main floor,5,2015,4,0.006002400960384154
ni love,5,2015,4,0.006002400960384154
nice park,5,2015,4,0.006002400960384154
paseo verde,5,2015,4,0.006002400960384154
peak hours,5,2015,4,0.006002400960384154
pretty awesome,5,2015,4,0.006002400960384154
security guard,5,2015,4,0.006002400960384154
street district,5,2015,4,0.006002400960384154
tourist trap,5,2015,4,0.006002400960384154
vegas clark,5,2015,4,0.006002400960384154
1 2,4,2015,4,0.004801920768307323
2 hours,4,2015,4,0.004801920768307323
2 weeks,4,2015,4,0.004801920768307323
20 mins,4,2015,4,0.004801920768307323
45 minutes,4,2015,4,0.004801920768307323
8 10,4,2015,4,0.004801920768307323
aliante library,4,2015,4,0.004801920768307323
arts district,4,2015,4,0.004801920768307323
bonnie springs,4,2015,4,0.004801920768307323
botanical garden,4,2015,4,0.004801920768307323
cell phone,4,2015,4,0.004801920768307323
civic center,4,2015,4,0.004801920768307323
convenient location,4,2015,4,0.004801920768307323
county library,4,2015,4,0.004801920768307323
crazy girls,4,2015,4,0.004801920768307323
distillery district,4,2015,4,0.004801920768307323
feel safe,4,2015,4,0.004801920768307323
half hour,4,2015,4,0.004801920768307323
home run,4,2015,4,0.004801920768307323
hot dogs,4,2015,4,0.004801920768307323
jacques cartier,4,2015,4,0.004801920768307323
kids section,4,2015,4,0.004801920768307323
la ciudad,4,2015,4,0.004801920768307323
lake ontario,4,2015,4,0.004801920768307323
months ago,4,2015,4,0.004801920768307323
montr al,4,2015,4,0.004801920768307323
nice quiet,4,2015,4,0.004801920768307323
nice view,4,2015,4,0.004801920768307323
north america,4,2015,4,0.004801920768307323
post office,353,2015,1,0.23223684210526316
customer service,146,2015,1,0.09605263157894736
worst post,35,2015,1,0.023026315789473683
las vegas,33,2015,1,0.021710526315789475
postal service,29,2015,1,0.019078947368421053
drivers license,22,2015,1,0.014473684210526316
worst customer,22,2015,1,0.014473684210526316
15 minutes,20,2015,1,0.013157894736842105
30 minutes,20,2015,1,0.013157894736842105
2 hours,19,2015,1,0.0125
20 minutes,19,2015,1,0.0125
10 minutes,16,2015,1,0.010526315789473684
po box,16,2015,1,0.010526315789473684
mail box,15,2015,1,0.009868421052631578
wait time,15,2015,1,0.009868421052631578
worst service,15,2015,1,0.009868421052631578
nv energy,14,2015,1,0.009210526315789473
0 stars,13,2015,1,0.008552631578947369
1 star,13,2015,1,0.008552631578947369
3 times,13,2015,1,0.008552631578947369
dash pass,13,2015,1,0.008552631578947369
parking lot,13,2015,1,0.008552631578947369
poor customer,13,2015,1,0.008552631578947369
postal workers,13,2015,1,0.008552631578947369
