bigram,n,star,pec
maintenance issues,59,1,0.005268797999642793
negative reviews,59,1,0.005268797999642793
weeks ago,59,1,0.005268797999642793
4 times,58,1,0.005179496338631898
air conditioner,58,1,0.005179496338631898
bad experience,57,1,0.005090194677621004
feel safe,57,1,0.005090194677621004
worst customer,57,1,0.005090194677621004
hot tub,56,1,0.005000893016610109
months rent,56,1,0.005000893016610109
20 minutes,54,1,0.00482228969458832
management companies,54,1,0.00482228969458832
star rating,54,1,0.00482228969458832
assistant manager,53,1,0.004732988033577424
break ins,53,1,0.004732988033577424
corporate office,53,1,0.004732988033577424
worst property,53,1,0.004732988033577424
lease agreement,52,1,0.00464368637256653
story short,52,1,0.00464368637256653
10 minutes,51,1,0.004554384711555635
48 hours,51,1,0.004554384711555635
absolute worst,51,1,0.004554384711555635
bedroom apartment,51,1,0.004554384711555635
highly recommend,538,5,0.1029665071770335
real estate,423,5,0.08095693779904306
las vegas,266,5,0.05090909090909091
customer service,216,5,0.04133971291866029
property management,180,5,0.03444976076555024
office staff,143,5,0.02736842105263158
property manager,105,5,0.020095693779904306
apartment complex,100,5,0.019138755980861243
top notch,90,5,0.01722488038277512
management company,86,5,0.01645933014354067
estate agent,80,5,0.015311004784688996
5 stars,77,5,0.014736842105263158
love living,77,5,0.014736842105263158
timely manner,76,5,0.014545454545454545
maintenance staff,67,5,0.012822966507177033
front desk,61,5,0.011674641148325358
highly recommended,59,5,0.011291866028708134
24 hours,58,5,0.011100478468899522
entire process,58,5,0.011100478468899522
walking distance,57,5,0.01090909090909091
home buying,56,5,0.010717703349282296
absolutely love,50,5,0.009569377990430622
extremely helpful,49,5,0.00937799043062201
front office,49,5,0.00937799043062201
buying process,48,5,0.009186602870813397
super friendly,48,5,0.009186602870813397
leasing office,47,5,0.008995215311004785
5 star,46,5,0.008803827751196171
friendly staff,44,5,0.008421052631578947
dream home,42,5,0.008038277511961723
time home,42,5,0.008038277511961723
garage door,41,5,0.00784688995215311
call home,40,5,0.007655502392344498
feel safe,40,5,0.007655502392344498
extra mile,39,5,0.007464114832535885
short sale,39,5,0.007464114832535885
rental property,37,5,0.007081339712918661
home inspection,36,5,0.006889952153110048
10 minutes,35,5,0.0066985645933014355
2 bedroom,35,5,0.0066985645933014355
fitness center,34,5,0.006507177033492823
bedroom apartment,33,5,0.00631578947368421
dog park,33,5,0.00631578947368421
estate market,33,5,0.00631578947368421
home purchase,33,5,0.00631578947368421
maintenance crew,32,5,0.006124401913875598
maintenance requests,31,5,0.005933014354066985
management companies,31,5,0.005933014354066985
ni highly,31,5,0.005933014354066985
recently moved,31,5,0.005933014354066985
30 days,30,5,0.005741626794258373
months ago,30,5,0.005741626794258373
leasing agent,29,5,0.005550239234449761
negative reviews,29,5,0.005550239234449761
nthe staff,29,5,0.005550239234449761
phone call,29,5,0.005550239234449761
price range,29,5,0.005550239234449761
management team,28,5,0.005358851674641148
super nice,28,5,0.005358851674641148
feel comfortable,27,5,0.005167464114832536
maintenance issues,27,5,0.005167464114832536
stainless steel,27,5,0.005167464114832536
washer dryer,27,5,0.005167464114832536
floor plans,26,5,0.004976076555023924
perfect home,26,5,0.004976076555023924
pet friendly,26,5,0.004976076555023924
property managers,26,5,0.004976076555023924
24 hour,25,5,0.004784688995215311
6 months,25,5,0.004784688995215311
apartment complexes,25,5,0.004784688995215311
extremely professional,25,5,0.004784688995215311
hot tub,25,5,0.004784688995215311
2 weeks,24,5,0.004593301435406699
extremely knowledgeable,24,5,0.004593301435406699
home buyer,24,5,0.004593301435406699
law firm,24,5,0.004593301435406699
maintenance team,24,5,0.004593301435406699
moving company,24,5,0.004593301435406699
extremely friendly,23,5,0.004401913875598086
loan officer,23,5,0.004401913875598086
phone calls,23,5,0.004401913875598086
pleasant experience,23,5,0.004401913875598086
positive experience,23,5,0.004401913875598086
rental properties,23,5,0.004401913875598086
2 months,22,5,0.004210526315789474
apartment community,22,5,0.004210526315789474
excellent service,22,5,0.004210526315789474
gated community,22,5,0.004210526315789474
los angeles,22,5,0.004210526315789474
maintenance guys,22,5,0.004210526315789474
stress free,22,5,0.004210526315789474
super helpful,22,5,0.004210526315789474
3 months,21,5,0.0040191387559808615
amazing job,21,5,0.0040191387559808615
excellent job,21,5,0.0040191387559808615
extremely happy,21,5,0.0040191387559808615
minute walk,21,5,0.0040191387559808615
rental home,21,5,0.0040191387559808615
smoke free,21,5,0.0040191387559808615
24 7,20,5,0.003827751196172249
customer service,669,1,0.06200185356811863
apartment complex,380,1,0.03521779425393883
management company,366,1,0.03392029657089898
property management,333,1,0.030861909175162187
office staff,332,1,0.03076923076923077
front office,284,1,0.026320667284522706
front desk,275,1,0.025486561631139944
property manager,230,1,0.021316033364226137
security deposit,226,1,0.020945319740500463
parking lot,212,1,0.01964782205746061
leasing office,191,1,0.017701575532900835
2 months,187,1,0.01733086190917516
phone calls,184,1,0.017052826691380907
2 weeks,183,1,0.01696014828544949
3 months,181,1,0.016774791473586653
6 months,179,1,0.016589434661723818
hot water,168,1,0.01556997219647822
multiple times,162,1,0.015013901760889712
las vegas,141,1,0.013067655236329936
real estate,140,1,0.012974976830398516
3 weeks,137,1,0.012696941612604264
pest control,135,1,0.012511584800741427
3 times,131,1,0.012140871177015755
front door,124,1,0.01149212233549583
day notice,123,1,0.011399443929564412
phone call,119,1,0.01102873030583874
3 days,118,1,0.010936051899907321
months ago,114,1,0.01056533827618165
1 star,110,1,0.010194624652455977
2 days,98,1,0.009082483781278962
bed bugs,98,1,0.009082483781278962
air conditioning,95,1,0.008804448563484708
worst experience,95,1,0.008804448563484708
0 stars,94,1,0.00871177015755329
pay rent,94,1,0.00871177015755329
late fees,93,1,0.008619091751621871
30 days,92,1,0.008526413345690454
water heater,90,1,0.008341056533827619
4 months,89,1,0.0082483781278962
management team,85,1,0.007877664504170528
maintenance staff,83,1,0.007692307692307693
dog poop,82,1,0.007599629286376274
extremely rude,76,1,0.007043558850787767
carpet cleaning,75,1,0.006950880444856348
parking spot,73,1,0.0067655236329935125
60 day,71,1,0.006580166821130677
1 2,70,1,0.006487488415199258
assistant manager,70,1,0.006487488415199258
leasing agent,70,1,0.006487488415199258
maintenance guy,70,1,0.006487488415199258
maintenance guys,70,1,0.006487488415199258
24 hours,69,1,0.006394810009267841
bedroom apartment,69,1,0.006394810009267841
2 hours,68,1,0.006302131603336422
air conditioner,68,1,0.006302131603336422
late fee,68,1,0.006302131603336422
month lease,68,1,0.006302131603336422
ac unit,67,1,0.006209453197405005
credit card,67,1,0.006209453197405005
months rent,67,1,0.006209453197405005
30 minutes,66,1,0.0061167747914735865
4 times,66,1,0.0061167747914735865
4 days,65,1,0.006024096385542169
cleaning fee,65,1,0.006024096385542169
weeks ago,65,1,0.006024096385542169
worst apartment,64,1,0.005931417979610751
timely manner,63,1,0.005838739573679333
highly recommend,62,1,0.005746061167747915
homeless people,62,1,0.005746061167747915
5 months,58,1,0.005375347544022243
30 day,57,1,0.005282669138090825
numerous times,57,1,0.005282669138090825
water bill,57,1,0.005282669138090825
2 bedroom,56,1,0.005189990732159407
feel safe,56,1,0.005189990732159407
hot tub,56,1,0.005189990732159407
negative stars,56,1,0.005189990732159407
5 days,55,1,0.005097312326227989
application fee,55,1,0.005097312326227989
break ins,55,1,0.005097312326227989
garage door,55,1,0.005097312326227989
maintenance people,55,1,0.005097312326227989
water damage,54,1,0.005004633920296571
dog park,53,1,0.004911955514365153
garbage disposal,53,1,0.004911955514365153
absolute worst,52,1,0.004819277108433735
maintenance requests,52,1,0.004819277108433735
story short,52,1,0.004819277108433735
horrible experience,51,1,0.004726598702502317
property managers,51,1,0.004726598702502317
worst customer,51,1,0.004726598702502317
corporate office,50,1,0.004633920296570899
office manager,50,1,0.004633920296570899
black mold,49,1,0.004541241890639481
lease agreement,49,1,0.004541241890639481
washing machine,49,1,0.004541241890639481
1 bedroom,48,1,0.004448563484708063
management companies,48,1,0.004448563484708063
60 days,47,1,0.004355885078776645
light bulbs,47,1,0.004355885078776645
customer service,889,1,0.06529562982005141
management company,482,1,0.03540213000367242
apartment complex,463,1,0.03400661035622475
property management,436,1,0.03202350348879912
property manager,371,1,0.02724935732647815
office staff,355,1,0.026074182886522218
leasing office,328,1,0.024091076019096585
security deposit,318,1,0.023356591994124126
front office,316,1,0.023209695189129638
front desk,287,1,0.021079691516709513
multiple times,274,1,0.02012486228424532
2 months,255,1,0.01872934263679765
hot water,223,1,0.016378993756885788
real estate,221,1,0.016232096951891296
2 weeks,212,1,0.015571061329416085
phone calls,208,1,0.015277267719427102
las vegas,202,1,0.014836577304443628
6 months,188,1,0.013808299669482188
parking lot,187,1,0.013734851266984944
pest control,179,1,0.013147264047006977
3 months,177,1,0.013000367242012487
3 weeks,161,1,0.011825192802056555
months ago,151,1,0.011090708777084098
bed bugs,148,1,0.010870363569592362
worst experience,146,1,0.01072346676459787
phone call,145,1,0.010650018362100624
day notice,144,1,0.010576569959603379
0 stars,140,1,0.010282776349614395
1 star,134,1,0.009842085934630922
front door,133,1,0.009768637532133676
3 days,131,1,0.009621740727139184
3 times,131,1,0.009621740727139184
dog poop,127,1,0.009327947117150202
air conditioning,124,1,0.009107601909658465
30 days,122,1,0.008960705104663973
2 days,121,1,0.008887256702166727
dog park,111,1,0.00815277267719427
leasing agent,110,1,0.008079324274697026
maintenance requests,107,1,0.007858979067205289
4 months,101,1,0.007418288652221814
5 days,101,1,0.007418288652221814
hot tub,101,1,0.007418288652221814
parking spot,100,1,0.007344840249724568
late fees,98,1,0.0071979434447300775
weeks ago,97,1,0.007124495042232832
late fee,96,1,0.007051046639735586
management team,96,1,0.007051046639735586
extremely rude,95,1,0.00697759823723834
pay rent,94,1,0.006904149834741094
maintenance guy,93,1,0.006830701432243849
lease agreement,88,1,0.0064634594197576205
water bill,88,1,0.0064634594197576205
4 days,86,1,0.006316562614763129
black mold,86,1,0.006316562614763129
maintenance request,85,1,0.006243114212265883
months rent,85,1,0.006243114212265883
water heater,85,1,0.006243114212265883
invitation homes,84,1,0.006169665809768638
worst apartment,84,1,0.006169665809768638
24 hours,82,1,0.006022769004774146
office manager,82,1,0.006022769004774146
ac unit,81,1,0.0059493206022769
30 minutes,77,1,0.005655526992287918
5 months,77,1,0.005655526992287918
60 day,77,1,0.005655526992287918
carpet cleaning,77,1,0.005655526992287918
absolute worst,76,1,0.005582078589790672
horrible experience,76,1,0.005582078589790672
negative stars,74,1,0.005435181784796181
worst company,74,1,0.005435181784796181
gated community,73,1,0.005361733382298935
homeless people,73,1,0.005361733382298935
bad reviews,72,1,0.005288284979801689
horrible customer,71,1,0.0052148365773044434
corporate office,70,1,0.005141388174807198
application fee,69,1,0.005067939772309953
cleaning fee,69,1,0.005067939772309953
1 2,68,1,0.004994491369812707
2 hours,68,1,0.004994491369812707
bedroom apartment,68,1,0.004994491369812707
numerous times,68,1,0.004994491369812707
break ins,67,1,0.004921042967315461
maintenance issues,67,1,0.004921042967315461
security guard,67,1,0.004921042967315461
4 times,66,1,0.004847594564818215
assistant manager,66,1,0.004847594564818215
month lease,66,1,0.004847594564818215
maintenance staff,64,1,0.004700697759823724
month ago,64,1,0.004700697759823724
timely manner,64,1,0.004700697759823724
credit union,63,1,0.004627249357326478
negative reviews,63,1,0.004627249357326478
worst customer,62,1,0.004553800954829232
10 minutes,61,1,0.0044803525523319865
60 days,60,1,0.0044069041498347415
feel safe,60,1,0.0044069041498347415
garbage disposal,59,1,0.004333455747337496
2 bedroom,58,1,0.00426000734484025
30 day,58,1,0.00426000734484025
5 times,58,1,0.00426000734484025
office staff,73,2,0.04299175500588928
customer service,72,2,0.04240282685512368
apartment complex,53,2,0.03121319199057715
front desk,53,2,0.03121319199057715
2 stars,49,2,0.028857479387514724
front office,48,2,0.028268551236749116
leasing office,43,2,0.025323910482921083
management company,36,2,0.02120141342756184
maintenance staff,33,2,0.019434628975265017
6 months,30,2,0.0176678445229682
property manager,30,2,0.0176678445229682
security deposit,30,2,0.0176678445229682
parking lot,29,2,0.01707891637220259
front door,28,2,0.016489988221436984
2 months,27,2,0.015901060070671377
multiple times,26,2,0.015312131919905771
pest control,26,2,0.015312131919905771
months ago,23,2,0.013545347467608953
dog poop,22,2,0.012956419316843345
hot water,22,2,0.012956419316843345
dog park,20,2,0.011778563015312132
maintenance crew,19,2,0.011189634864546525
maintenance guy,19,2,0.011189634864546525
2 weeks,18,2,0.01060070671378092
3 times,18,2,0.01060070671378092
las vegas,18,2,0.01060070671378092
property management,18,2,0.01060070671378092
real estate,18,2,0.01060070671378092
3 months,17,2,0.010011778563015312
3 weeks,17,2,0.010011778563015312
4 months,17,2,0.010011778563015312
3 days,16,2,0.009422850412249705
carpet cleaning,16,2,0.009422850412249705
day notice,16,2,0.009422850412249705
20 minutes,14,2,0.008244994110718492
30 minutes,14,2,0.008244994110718492
5 stars,14,2,0.008244994110718492
ac unit,14,2,0.008244994110718492
bedroom apartment,14,2,0.008244994110718492
gated community,14,2,0.008244994110718492
hot tub,14,2,0.008244994110718492
mark taylor,14,2,0.008244994110718492
parking spot,14,2,0.008244994110718492
valet trash,14,2,0.008244994110718492
fast forward,13,2,0.0076560659599528855
leasing agent,13,2,0.0076560659599528855
management team,13,2,0.0076560659599528855
pay rent,13,2,0.0076560659599528855
water heater,13,2,0.0076560659599528855
2 bedroom,12,2,0.007067137809187279
absolutely ridiculous,12,2,0.007067137809187279
maintenance guys,12,2,0.007067137809187279
phone call,12,2,0.007067137809187279
10 minutes,11,2,0.006478209658421673
15 minutes,11,2,0.006478209658421673
2 hours,11,2,0.006478209658421673
30 days,11,2,0.006478209658421673
credit card,11,2,0.006478209658421673
credit union,11,2,0.006478209658421673
