bigram,n,star,pec
2018 food,1,4,0.00546448087431694
225 baby,1,4,0.00546448087431694
24 7,1,4,0.00546448087431694
30 mins,1,4,0.00546448087431694
30am bellagio,1,4,0.00546448087431694
30am cash,1,4,0.00546448087431694
30am cocktail,1,4,0.00546448087431694
30am dessert,1,4,0.00546448087431694
30am hit,1,4,0.00546448087431694
30am wander,1,4,0.00546448087431694
30pm cocktail,1,4,0.00546448087431694
30pm kisses,1,4,0.00546448087431694
30pm lunch,1,4,0.00546448087431694
30pm nap,1,4,0.00546448087431694
30pm wipe,1,4,0.00546448087431694
39pm thug,1,4,0.00546448087431694
4 decades,1,4,0.00546448087431694
4 miles,1,4,0.00546448087431694
4 o'clock,1,4,0.00546448087431694
4 tonight,1,4,0.00546448087431694
40pm yikes,1,4,0.00546448087431694
415 847,1,4,0.00546448087431694
45am cocktail,1,4,0.00546448087431694
5 days,1,4,0.00546448087431694
50 buffet,1,4,0.00546448087431694
55pm cash,1,4,0.00546448087431694
6 8,1,4,0.00546448087431694
"65,000 hotel",1,4,0.00546448087431694
7 easily,1,4,0.00546448087431694
las vegas,8,3,0.0625
cable card,6,3,0.046875
food allergies,3,3,0.0234375
homeless people,3,3,0.0234375
mgm grand,3,3,0.0234375
phone call,3,3,0.0234375
vegas sign,3,3,0.0234375
caesar's palace,2,3,0.015625
channel 12,2,3,0.015625
https www,2,3,0.015625
ingredient lists,2,3,0.015625
mark curtis,2,3,0.015625
power outage,2,3,0.015625
1 2,1,3,0.0078125
1 buffets,1,3,0.0078125
1 dollar,1,3,0.0078125
10 17,1,3,0.0078125
10 times,1,3,0.0078125
100 gift,1,3,0.0078125
15 minutes,1,3,0.0078125
16 24,1,3,0.0078125
16 hours,1,3,0.0078125
16 nsince,1,3,0.0078125
17 16,1,3,0.0078125
1996 discounts,1,3,0.0078125
2 3,1,3,0.0078125
2 technicians,1,3,0.0078125
20 fold,1,3,0.0078125
20 minutes,1,3,0.0078125
20 mo,1,3,0.0078125
24 https,1,3,0.0078125
25 complaints,1,3,0.0078125
3 months,1,3,0.0078125
3 stars,1,3,0.0078125
30 days,1,3,0.0078125
4 hours,1,3,0.0078125
4 times,1,3,0.0078125
40 minutes,1,3,0.0078125
5 complaints,1,3,0.0078125
50 charge,1,3,0.0078125
50 fee,1,3,0.0078125
50 wow,1,3,0.0078125
55 month,1,3,0.0078125
5fdp disturbed,1,3,0.0078125
6 months,1,3,0.0078125
9 10,1,3,0.0078125
